,País,Nome FIFA,Grupo,Confederação,Bandeira,Cabeça-de-chave,Ranking FIFA (07/04),Pontuação FIFA (07/04),Ouros,Pratas,Bronzes
1,França,France,A,UEFA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ensign_of_France.svg/1920px-Ensign_of_France.svg.png,Sim,2,1757,1,1,0
2,Brasil,Brazil,D,CONMEBOL,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/1280px-Flag_of_Brazil.svg.png,Sim,3,1742,1,3,2
3,Espanha,Spain,C,UEFA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/1920px-Flag_of_Spain.svg.png,Sim,6,1648,1,2,0
4,Argentina,Argentina,C,CONMEBOL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/1920px-Flag_of_Argentina.svg.png,Não,8,1641,2,2,0
5,México,Mexico,A,CONCACAF,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/1920px-Flag_of_Mexico.svg.png,Não,11,1629,1,0,0
6,Alemanha,Germany,D,UEFA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/1920px-Flag_of_Germany.svg.png,Não,12,1609,1,1,1
7,Honduras,Honduras,B,CONCACAF,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/640px-Flag_of_Honduras.svg.png,Não,67,1361,0,0,0
8,Japão,Japan,A,AFC,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/1920px-Flag_of_Japan.svg.png,Não,28,1509,0,0,0
9,Romênia,Romania,B,UEFA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/1920px-Flag_of_Romania.svg.png,Não,43,1449,0,0,0
10,Coréia do Sul,Korea Republic,B,AFC,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/1920px-Flag_of_South_Korea.svg.png,Sim,39,1460,0,0,0
11,Austrália,Australia,C,AFC,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/1920px-Flag_of_Australia.svg.png,Não,41,1457,0,0,0
12,Egito,Egypt,C,CAF,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/1920px-Flag_of_Egypt.svg.png,Não,46,1432,0,0,0
13,Costa do Marfim,Côte d'Ivoire,D,CAF,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/1920px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,Não,59,1384,0,0,0
14,Arábia Saudita,Saudi Arabia,D,AFC,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/1920px-Flag_of_Saudi_Arabia.svg.png,Não,65,1364,0,0,0
15,África do Sul,South Africa,A,CAF,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/1920px-Flag_of_South_Africa.svg.png,Não,75,1325,0,0,0
16,Nova Zelândia,New Zealand,B,OFC,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/1920px-Flag_of_New_Zealand.svg.png,Não,122,1149,0,0,0
